"gene_id"	"cluster"	"transcript_id"	"PSI"	"cell"	"geneExpression"	"transcriptExpression"
"1"	"ENSG00000009307.16"	"1"	"ENST00000610726.4"	0.29338548319981	"cluster1_cell10"	9.3662735419858	3
"2"	"ENSG00000009307.16"	"1"	"ENST00000610726.4"	0.29338548319981	"cluster1_cell2"	19.0955901525249	6
"3"	"ENSG00000009307.16"	"1"	"ENST00000610726.4"	0.29338548319981	"cluster1_cell3"	12.8222552722731	4
"4"	"ENSG00000009307.16"	"1"	"ENST00000610726.4"	0.29338548319981	"cluster1_cell4"	9.21751456866307	3
"5"	"ENSG00000009307.16"	"1"	"ENST00000610726.4"	0.29338548319981	"cluster1_cell1"	19.8469297361485	6
"6"	"ENSG00000009307.16"	"1"	"ENST00000610726.4"	0.29338548319981	"cluster1_cell6"	78.0749767329915	23
"7"	"ENSG00000009307.16"	"1"	"ENST00000610726.4"	0.29338548319981	"cluster1_cell7"	35.4369935438075	10
"8"	"ENSG00000009307.16"	"1"	"ENST00000610726.4"	0.29338548319981	"cluster1_cell8"	104.186661877298	31
"9"	"ENSG00000009307.16"	"1"	"ENST00000610726.4"	0.29338548319981	"cluster1_cell5"	15.1326451423596	4
"10"	"ENSG00000009307.16"	"1"	"ENST00000610726.4"	0.29338548319981	"cluster1_cell9"	82.6976430471783	24
"11"	"ENSG00000009307.16"	"1"	"ENST00000369530.5"	0.395700854939311	"cluster1_cell10"	9.3662735419858	4
"12"	"ENSG00000009307.16"	"1"	"ENST00000369530.5"	0.395700854939311	"cluster1_cell2"	19.0955901525249	8
"13"	"ENSG00000009307.16"	"1"	"ENST00000369530.5"	0.395700854939311	"cluster1_cell3"	12.8222552722731	5
"14"	"ENSG00000009307.16"	"1"	"ENST00000369530.5"	0.395700854939311	"cluster1_cell4"	9.21751456866307	4
"15"	"ENSG00000009307.16"	"1"	"ENST00000369530.5"	0.395700854939311	"cluster1_cell1"	19.8469297361485	8
"16"	"ENSG00000009307.16"	"1"	"ENST00000369530.5"	0.395700854939311	"cluster1_cell6"	78.0749767329915	31
"17"	"ENSG00000009307.16"	"1"	"ENST00000369530.5"	0.395700854939311	"cluster1_cell7"	35.4369935438075	14
"18"	"ENSG00000009307.16"	"1"	"ENST00000369530.5"	0.395700854939311	"cluster1_cell8"	104.186661877298	41
"19"	"ENSG00000009307.16"	"1"	"ENST00000369530.5"	0.395700854939311	"cluster1_cell5"	15.1326451423596	6
"20"	"ENSG00000009307.16"	"1"	"ENST00000369530.5"	0.395700854939311	"cluster1_cell9"	82.6976430471783	33
"21"	"ENSG00000009307.16"	"1"	"ENSG00000009307.16newExon"	0.310913661860878	"cluster1_cell10"	9.3662735419858	3
"22"	"ENSG00000009307.16"	"1"	"ENSG00000009307.16newExon"	0.310913661860878	"cluster1_cell2"	19.0955901525249	6
